,centroid,end_sample,file_name,freesound_id,id,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,start_sample
215,0.0,264704,121059_2193266-hq.ogg,121059,121059_f9,0.0,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,Input/Sounds/121059_2193266-hq.ogg,264704
216,0.29579755663871765,512,121061_2193266-hq.ogg,121061,121061_f0,0.001243147999048233,-652.9863891601562,-67.48734283447266,1.6714019775390625,-9.77104377746582,8.186325073242188,-37.24555206298828,13.251443862915039,-24.862524032592773,-10.995180130004883,-14.700597763061523,-11.87275505065918,21.97677230834961,18.45326805114746,Input/Sounds/121061_2193266-hq.ogg,0
217,0.12161152064800262,27136,121061_2193266-hq.ogg,121061,121061_f1,0.002786319237202406,-682.5333862304688,121.07489776611328,-4.966985702514648,-10.301567077636719,1.7237052917480469,15.381904602050781,32.762542724609375,0.7502765655517578,4.9975433349609375,-8.971853256225586,-8.320695877075195,-2.6766090393066406,-5.9450836181640625,Input/Sounds/121061_2193266-hq.ogg,512
218,0.11834371834993362,33792,121061_2193266-hq.ogg,121061,121061_f2,0.00414116308093071,-611.44775390625,136.49630737304688,-7.701221466064453,10.345834732055664,2.9348907470703125,-12.491546630859375,29.48153305053711,5.710842132568359,-3.342691421508789,-0.3253898620605469,-12.948036193847656,-10.903942108154297,-5.06669807434082,Input/Sounds/121061_2193266-hq.ogg,27136
219,0.11569765210151672,67072,121061_2193266-hq.ogg,121061,121061_f3,0.001456744153983891,-767.9536743164062,139.56051635742188,-8.67502212524414,4.153835296630859,-5.656375885009766,-8.369556427001953,37.895145416259766,7.037700653076172,1.6123008728027344,3.2257919311523438,-3.7145957946777344,-4.561065673828125,-4.427391052246094,Input/Sounds/121061_2193266-hq.ogg,33792
220,0.1525295525789261,76288,121061_2193266-hq.ogg,121061,121061_f4,0.002546413103118539,-654.65185546875,91.31507110595703,1.7025184631347656,-0.18740463256835938,-0.7895984649658203,-4.605262756347656,32.56092071533203,9.272764205932617,7.689945220947266,4.583763122558594,12.027355194091797,11.080408096313477,1.6861038208007812,Input/Sounds/121061_2193266-hq.ogg,67072
221,0.08485572785139084,92672,121061_2193266-hq.ogg,121061,121061_f5,0.00466536171734333,-683.1583251953125,171.35665893554688,-10.737264633178711,0.5235424041748047,-10.489973068237305,-5.554676055908203,45.00537872314453,8.996788024902344,1.82275390625,0.0722808837890625,-8.351181030273438,2.2172698974609375,1.7947998046875,Input/Sounds/121061_2193266-hq.ogg,76288
222,0.10929489880800247,99840,121061_2193266-hq.ogg,121061,121061_f6,0.003961070440709591,-619.708251953125,134.81689453125,-4.00518798828125,11.28657341003418,1.1496391296386719,-13.714031219482422,32.642791748046875,8.980737686157227,0.45577239990234375,10.242511749267578,2.259939193725586,4.933897018432617,4.034570693969727,Input/Sounds/121061_2193266-hq.ogg,92672
223,0.16351477801799774,110080,121061_2193266-hq.ogg,121061,121061_f7,0.003315429901704192,-635.9180908203125,74.7874755859375,-9.271804809570312,1.7324447631835938,-18.49704933166504,13.856529235839844,43.5394172668457,1.9548606872558594,16.09008026123047,-0.9948539733886719,-0.5276317596435547,-11.393321990966797,-2.0278453826904297,Input/Sounds/121061_2193266-hq.ogg,99840
224,0.09148534387350082,126464,121061_2193266-hq.ogg,121061,121061_f8,0.004058907739818096,-686.4900512695312,161.69842529296875,-12.683795928955078,0.5375995635986328,-11.218082427978516,-7.54681396484375,44.34197998046875,6.097923278808594,-0.9654922485351562,-2.147825241088867,-10.264030456542969,-4.042881011962891,-3.6981048583984375,Input/Sounds/121061_2193266-hq.ogg,110080
